Date,Close,Open,High,Low,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_Entry/Exit,side,cost/proceeds,shares
7/20/2020,316.4416199,313.6218095,317.231941,312.8314884,4.503399402,0.667958698,3.835440704,0,hold,,0
7/21/2020,317.1147766,318.5197981,318.9881188,316.0707622,4.716207835,0.704613704,4.01159413,0,hold,,0
7/22/2020,318.9197693,316.7341938,319.2515361,316.6171137,4.97318015,0.769268816,4.203911334,0,hold,,0
7/23/2020,315.1145935,318.5393375,319.280885,313.670565,4.814290532,0.488303358,4.325987173,0,hold,,0
7/24/2020,313.085144,313.1534507,314.1681655,311.4947355,4.47304725,0.117648061,4.355399189,0,hold,,0
7/27/2020,315.3682251,313.8168535,315.5536119,312.9777295,4.336842629,-0.014845248,4.351687877,-2,sell,0,0
7/28/2020,313.368103,314.5974747,315.7781026,313.0558694,4.021153001,-0.264427901,4.285580902,0,hold,,0
7/29/2020,317.2220764,314.2949534,317.8172736,314.2559167,4.03543219,-0.200118969,4.235551159,0,hold,,0
7/30/2020,316.0903015,314.0803458,316.5293819,311.8752663,3.910347719,-0.260162752,4.170510471,0,hold,,0
7/31/2020,318.5880737,317.9831397,318.6954171,313.5241483,3.967037183,-0.16277863,4.129815814,0,hold,,0
8/3/2020,320.802948,320.3443642,321.6127723,319.7687002,4.142928731,0.010490334,4.132438397,2,hold,,0
8/4/2020,322.0421448,319.8955755,322.0421448,319.8955755,4.332375941,0.159950035,4.172425906,0,hold,,0
8/5/2020,324.0422974,323.4178599,324.3155241,323.1348963,4.590987768,0.33484949,4.256138278,0,hold,,0
8/6/2020,326.208374,323.4276306,326.3352208,323.0861269,4.914077363,0.526351268,4.387726095,0,hold,,0
8/7/2020,326.4425354,325.1838641,326.7450024,324.2276598,5.129888895,0.59373024,4.536158655,0,hold,,0
8/10/2020,327.418335,326.9207144,327.6134587,324.8717216,5.318353292,0.62575571,4.692597583,0,hold,,0
8/11/2020,324.7155762,328.667211,329.3404519,323.9447884,5.189797879,0.397760237,4.792037642,0,hold,,0
8/12/2020,329.2428589,327.2914432,330.0624499,327.2621731,5.391085588,0.479238357,4.911847231,0,hold,,0
8/13/2020,328.6476135,328.4329566,330.0331316,327.6719058,5.4398688,0.422417255,5.017451545,0,hold,,0
8/14/2020,328.6573792,328.237832,329.2233063,327.4670146,5.416875483,0.319539151,5.097336333,0,hold,,0
8/17/2020,329.701416,329.7306861,330.1209632,328.6671682,5.420414993,0.258462929,5.161952065,0,hold,,0
8/18/2020,330.4136963,330.1209661,330.8625135,328.4329809,5.418237082,0.205028014,5.213209068,0,hold,,0
8/19/2020,329.0379333,330.8136988,331.3600928,328.4427361,5.245036978,0.025462328,5.21957465,0,hold,,0
8/20/2020,330.062439,327.213359,330.5697963,327.0767754,5.131293334,-0.070625053,5.201918387,-2,sell,0,0
8/21/2020,331.2332764,329.7111747,331.4674367,329.3501378,5.0771018,-0.099853269,5.17695507,0,hold,,0
8/24/2020,334.5897522,333.809168,334.6677957,331.2040447,5.244538394,0.054066659,5.190471734,2,hold,,0
8/25/2020,335.7605896,335.1849255,335.8483997,333.9555241,5.409354225,0.175105993,5.234248233,0,hold,,0
8/26/2020,339.12677,336.3850335,339.4097038,335.8093694,5.745365589,0.408893885,5.336471704,0,hold,,0
8/27/2020,339.8682861,340.0439362,341.4001545,338.112024,6.002300386,0.532662946,5.46963744,0,hold,,0
8/28/2020,342.0636597,340.9513682,342.2002731,339.6926966,6.310329806,0.672553893,5.637775913,0,hold,,0
8/31/2020,340.8244629,341.8392073,342.7661117,340.580536,6.380897503,0.594497272,5.786400231,0,hold,,0
