Date,Close,Open,High,Low,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_Entry/Exit,side,cost/proceeds,shares
2021-04-22 11:30:00-04:00,416.3599854,415.8800049,416.4500122,415.7099915,-0.056832513,0.602332094,-0.659164607,,buy,-41635.99854,100
2021-04-22 12:30:00-04:00,414.7000122,416.3599854,416.7799988,413.1499939,-0.076462043,0.466162051,-0.542624094,0,hold,,100
2021-04-22 13:30:00-04:00,413.07901,414.6900024,414.7600098,411.1300049,-0.220280659,0.257874748,-0.478155407,0,hold,,100
2021-04-22 14:30:00-04:00,412.1749878,413.0799866,413.4500122,411.7598877,-0.402564473,0.060472747,-0.46303722,0,hold,,100
2021-04-22 15:30:00-04:00,412.3200073,412.3649902,413.0499878,412.0599976,-0.529223288,-0.052948854,-0.476274434,-2,sell,41232.00073,0
2021-04-23 09:30:00-04:00,414.3500061,413.0400085,414.4700012,412.9400024,-0.460489143,0.012628232,-0.473117376,2,hold,,0
2021-04-23 10:30:00-04:00,416.1499939,414.3487854,416.3399963,414.2330017,-0.257801096,0.172253024,-0.43005412,0,hold,,0
2021-04-23 11:30:00-04:00,416.4150085,416.1549988,416.5499878,416.0150146,-0.074921245,0.284106299,-0.359027545,0,hold,,0
2021-04-23 12:30:00-04:00,417.0450134,416.4150085,417.2799988,416.3999939,0.119471292,0.382799069,-0.263327777,0,hold,,0
2021-04-23 13:30:00-04:00,417.0150146,417.0499878,417.3599854,416.75,0.268018576,0.425077083,-0.157058507,0,hold,,0
2021-04-23 14:30:00-04:00,417.7850037,417.0150146,417.8599854,416.9299927,0.442771058,0.479863652,-0.037092594,0,hold,,0
2021-04-23 15:30:00-04:00,416.7200012,417.7799988,418.25,416.6400146,0.489682113,0.421419765,0.068262348,0,hold,,0
2021-04-26 09:30:00-04:00,417.8179932,417.4400024,418.1700134,417.2000122,0.608444465,0.432145694,0.176298771,0,hold,,0
2021-04-26 10:30:00-04:00,417.9200134,417.8299866,418.1499939,417.6199951,0.702696421,0.42111812,0.281578301,0,hold,,0
2021-04-26 11:30:00-04:00,417.4100037,417.9100037,417.9549866,417.2799988,0.72784807,0.357015815,0.370832255,0,hold,,0
2021-04-26 12:30:00-04:00,417.4000854,417.4010925,417.8099976,417.3009949,0.738468017,0.294108609,0.444359407,0,hold,,0
2021-04-26 13:30:00-04:00,417.9200134,417.4000854,417.9500122,417.2950134,0.779848634,0.268391381,0.511457253,0,hold,,0
2021-04-26 14:30:00-04:00,417.2999878,417.9190063,418.2200012,417.1799927,0.753921447,0.193971356,0.559950092,0,hold,,0
2021-04-26 15:30:00-04:00,417.6400146,417.3049927,417.9349976,416.9700012,0.752141076,0.153752788,0.598388288,0,hold,,0
2021-04-27 09:30:00-04:00,417.2200012,417.9299927,417.9899902,416.2999878,0.708669446,0.088224926,0.62044452,0,hold,,0
2021-04-27 10:30:00-04:00,417.1950073,417.230011,417.3900146,416.5299988,0.664540656,0.035276909,0.629263747,0,hold,,0
2021-04-27 11:30:00-04:00,417.6700134,417.1900024,417.7349854,417.1499939,0.660285929,0.024817746,0.635468183,0,hold,,0
2021-04-27 12:30:00-04:00,417.3450012,417.6700134,417.6799927,416.980011,0.623500928,-0.009573804,0.633074732,-2,sell,0,0
2021-04-27 13:30:00-04:00,417.5498962,417.3399963,417.5799866,417.0700073,0.603920249,-0.023323587,0.627243836,0,hold,,0
2021-04-27 14:30:00-04:00,417.841095,417.5490112,417.9500122,417.2850037,0.604926508,-0.017853863,0.62278037,0,hold,,0
2021-04-27 15:30:00-04:00,417.4899902,417.855011,418.1400146,417.4899902,0.570812782,-0.04157407,0.612386853,0,hold,,0
2021-04-28 09:30:00-04:00,418.1549988,417.980011,418.4500122,417.3200073,0.59062963,-0.017405778,0.608035408,0,hold,,0
2021-04-28 10:30:00-04:00,417.9200134,418.1554871,418.230011,417.7099915,0.580679559,-0.02188468,0.602564238,0,hold,,0
2021-04-28 11:30:00-04:00,417.6149902,417.9182129,417.9299927,417.1199951,0.541934153,-0.048504068,0.590438221,0,hold,,0
2021-04-28 12:30:00-04:00,417.7999878,417.615509,417.8900146,417.5201111,0.520159818,-0.056222722,0.576382541,0,hold,,0
